locus_tag	ftype	length_bp	gene	EC_number	COG	product
IABCJNHA_00045	CDS	444	yjcF_2	2.3.1.-		putative N-acetyltransferase YjcF
IABCJNHA_00046	CDS	879	gltC_1			HTH-type transcriptional regulator GltC
IABCJNHA_00047	CDS	1215	ynfM			Inner membrane transport protein YnfM
IABCJNHA_00048	CDS	840				hypothetical protein
IABCJNHA_00049	CDS	390	yybH		COG4319	putative protein YybH
IABCJNHA_00050	CDS	789				hypothetical protein
IABCJNHA_00051	CDS	657	bcrA_1			Bacitracin transport ATP-binding protein BcrA
IABCJNHA_00052	CDS	756				hypothetical protein
IABCJNHA_00053	CDS	711				hypothetical protein
IABCJNHA_00054	CDS	756				hypothetical protein
IABCJNHA_00055	CDS	438				hypothetical protein
IABCJNHA_00056	CDS	240				hypothetical protein
IABCJNHA_00057	CDS	1308	garP			putative galactarate transporter
IABCJNHA_00058	CDS	111				hypothetical protein
IABCJNHA_00059	CDS	447				hypothetical protein
IABCJNHA_00060	CDS	930	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
IABCJNHA_00061	CDS	378	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
IABCJNHA_00062	CDS	483	cotF		COG5577	Spore coat protein F
IABCJNHA_00063	CDS	150				hypothetical protein
IABCJNHA_00064	CDS	930				hypothetical protein
IABCJNHA_00065	CDS	1980	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
IABCJNHA_00066	CDS	450	rplI			50S ribosomal protein L9
IABCJNHA_00067	CDS	2058				hypothetical protein
IABCJNHA_00068	CDS	1209	yycB		COG2807	putative transporter YycB
IABCJNHA_00069	CDS	141	yycC			putative protein YycC
IABCJNHA_00070	CDS	204				hypothetical protein
IABCJNHA_00071	CDS	201				hypothetical protein
IABCJNHA_00072	CDS	1365	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
IABCJNHA_00073	CDS	420	yycE			putative protein YycE
IABCJNHA_00074	CDS	1293	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
IABCJNHA_00075	tRNA	76				tRNA-Lys(ttt)
IABCJNHA_00076	tRNA	72				tRNA-Glu(ttc)
IABCJNHA_00077	tRNA	77				tRNA-Asp(gtc)
IABCJNHA_00078	tRNA	74				tRNA-Phe(gaa)
IABCJNHA_00079	CDS	711	walR_1		COG0745	Transcriptional regulatory protein WalR
IABCJNHA_00080	CDS	1836	walK	2.7.13.3		Sensor histidine kinase WalK
IABCJNHA_00081	CDS	1377	yycH		COG4863	Two-component system WalR/WalK regulatory protein YycH
IABCJNHA_00082	CDS	843	yycI		COG4853	Two-component system WalR/WalK regulatory protein YycI
IABCJNHA_00083	CDS	795	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
IABCJNHA_00084	CDS	1203	htrA_1	3.4.21.107	COG0265	Serine protease Do-like HtrA
IABCJNHA_00085	CDS	1386	rocR		COG3829	Arginine utilization regulatory protein RocR
IABCJNHA_00086	CDS	1206	rocD	2.6.1.13	COG4992	Ornithine aminotransferase
IABCJNHA_00087	CDS	1404	rocE		COG0833	Amino-acid permease RocE
IABCJNHA_00088	CDS	891	rocF	3.5.3.1	COG0010	Arginase
IABCJNHA_00089	CDS	117				hypothetical protein
IABCJNHA_00090	CDS	1098	rapG_1	3.1.-.-		Response regulator aspartate phosphatase G
IABCJNHA_00091	CDS	471	yycN_1	2.3.1.-	COG0454	putative N-acetyltransferase YycN
IABCJNHA_00092	CDS	738				hypothetical protein
IABCJNHA_00093	CDS	1164				hypothetical protein
IABCJNHA_00094	CDS	249				hypothetical protein
IABCJNHA_00095	CDS	171				hypothetical protein
IABCJNHA_00096	CDS	1212	fdhA	1.2.1.46		Glutathione-independent formaldehyde dehydrogenase
IABCJNHA_00097	CDS	414				hypothetical protein
IABCJNHA_00098	CDS	171				hypothetical protein
IABCJNHA_00099	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
IABCJNHA_00100	CDS	1446	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
IABCJNHA_00101	CDS	423				hypothetical protein
IABCJNHA_00102	CDS	1761				hypothetical protein
IABCJNHA_00103	CDS	1926	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
IABCJNHA_00104	CDS	150	yydF			Putative exported peptide YydF
IABCJNHA_00105	CDS	960	moaA_1			GTP 3',8-cyclase
IABCJNHA_00106	CDS	759	yydH			Putative peptide zinc metalloprotease protein YydH
IABCJNHA_00107	CDS	630	yydI			putative peptide export ATP-binding protein YydI
IABCJNHA_00108	CDS	723	yydJ			putative peptide export permease protein YydJ
IABCJNHA_00109	CDS	159				hypothetical protein
IABCJNHA_00110	CDS	711	yydK		COG2188	putative HTH-type transcriptional regulator YydK
IABCJNHA_00111	CDS	231	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
IABCJNHA_00112	CDS	1440	bglA	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglA
IABCJNHA_00113	CDS	1530	ahpF	1.6.99.3	COG3634	NADH dehydrogenase
IABCJNHA_00114	CDS	564	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
IABCJNHA_00115	CDS	1407	gntZ	1.1.1.343	COG0362	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
IABCJNHA_00116	CDS	1233	gntT_1		COG2610	High-affinity gluconate transporter
IABCJNHA_00117	CDS	1542	xylB_1	2.7.1.17	COG1070	Xylulose kinase
IABCJNHA_00118	CDS	732	gntR			putative D-xylose utilization operon transcriptional repressor
IABCJNHA_00119	CDS	1149	garK	2.7.1.165	COG1929	Glycerate 2-kinase
IABCJNHA_00120	CDS	1032	yxaB	2.-.-.-	COG5039	General stress protein 30
IABCJNHA_00121	CDS	693	cidB		COG1346	Holin-like protein CidB
IABCJNHA_00122	CDS	405	cidA			Holin-like protein CidA
IABCJNHA_00123	CDS	432				hypothetical protein
IABCJNHA_00124	CDS	1071	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
IABCJNHA_00125	CDS	576	yxaF_1			putative HTH-type transcriptional regulator YxaF
IABCJNHA_00126	CDS	1014	qdoI	1.13.11.24	COG1917	Quercetin 2,3-dioxygenase
IABCJNHA_00127	CDS	1209				hypothetical protein
IABCJNHA_00128	CDS	456				hypothetical protein
IABCJNHA_00129	CDS	426				hypothetical protein
IABCJNHA_00130	CDS	1233	yxaL		COG1520	putative protein YxaL
IABCJNHA_00131	CDS	1200				hypothetical protein
IABCJNHA_00132	CDS	2244	asnH	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 2
IABCJNHA_00133	CDS	483				hypothetical protein
IABCJNHA_00134	CDS	270				hypothetical protein
IABCJNHA_00135	CDS	735	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
IABCJNHA_00136	CDS	993	yxbC		COG2850	putative protein YxbC
IABCJNHA_00137	CDS	480				hypothetical protein
IABCJNHA_00138	CDS	1338	alkH	1.2.1.3		Aldehyde dehydrogenase
IABCJNHA_00139	CDS	1143				hypothetical protein
IABCJNHA_00140	CDS	822	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
IABCJNHA_00141	CDS	252				hypothetical protein
IABCJNHA_00142	CDS	1881	htpG		COG0326	Chaperone protein HtpG
IABCJNHA_00143	CDS	1386	csbC_1			putative metabolite transport protein CsbC
IABCJNHA_00144	CDS	309				hypothetical protein
IABCJNHA_00145	CDS	651				hypothetical protein
IABCJNHA_00146	CDS	933	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
IABCJNHA_00147	CDS	756	srlR_1		COG1349	Glucitol operon repressor
IABCJNHA_00148	CDS	1464	iolA	1.2.1.-	COG1012	Malonate-semialdehyde dehydrogenase
IABCJNHA_00149	CDS	816	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
IABCJNHA_00150	CDS	978	iolC	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
IABCJNHA_00151	CDS	1914	iolD	3.7.1.22	COG3962	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
IABCJNHA_00152	CDS	894	iolE	4.2.1.44	COG1082	Inosose dehydratase
IABCJNHA_00153	CDS	1332	iolT_1			Major myo-inositol transporter IolT
IABCJNHA_00154	CDS	1035	iolG_1	1.1.1.18	COG0673	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
IABCJNHA_00155	CDS	870				hypothetical protein
IABCJNHA_00156	CDS	837	iolI	5.3.99.11	COG1082	Inosose isomerase
IABCJNHA_00157	CDS	873	iolJ	4.1.2.29	COG0191	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase
IABCJNHA_00158	CDS	690	graR_1		COG0745	Response regulator protein GraR
IABCJNHA_00159	CDS	978	graS_1	2.7.13.3	COG0642	Sensor histidine kinase GraS
IABCJNHA_00160	CDS	774	yxdL_1		COG1136	ABC transporter ATP-binding protein YxdL
IABCJNHA_00161	CDS	1869	yxdM_1			ABC transporter permease protein YxdM
IABCJNHA_00162	CDS	348	yxeA		COG5294	putative protein YxeA
IABCJNHA_00163	CDS	966	yxeB		COG0614	Iron(3+)-hydroxamate-binding protein YxeB
IABCJNHA_00164	CDS	399				hypothetical protein
IABCJNHA_00165	CDS	354				hypothetical protein
IABCJNHA_00166	CDS	366	yxeE			putative protein YxeE
IABCJNHA_00167	CDS	435	yxeF			putative protein YxeF
IABCJNHA_00168	CDS	558				hypothetical protein
IABCJNHA_00169	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
IABCJNHA_00170	CDS	987	yxeI		COG3049	putative protein YxeI
IABCJNHA_00171	CDS	228				hypothetical protein
IABCJNHA_00172	CDS	1326	ntaA	1.14.14.10		Nitrilotriacetate monooxygenase component A
IABCJNHA_00173	CDS	498	scmL	2.3.1.-		S-(2-succino)cysteine N-acetyltransferase
IABCJNHA_00174	CDS	795	yxeM		COG0834	putative amino-acid-binding protein YxeM
IABCJNHA_00175	CDS	675	yxeN			putative amino-acid permease protein YxeN
IABCJNHA_00176	CDS	750	yxeO	3.6.3.-	COG1126	putative amino-acid import ATP-binding protein YxeO
IABCJNHA_00177	CDS	1143	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
IABCJNHA_00178	CDS	1338				hypothetical protein
IABCJNHA_00179	CDS	1113				hypothetical protein
IABCJNHA_00180	CDS	828				hypothetical protein
IABCJNHA_00181	CDS	942	deoR		COG2390	Deoxyribonucleoside regulator
IABCJNHA_00182	CDS	672	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
IABCJNHA_00183	CDS	1182	nupC		COG1972	Nucleoside permease NupC
IABCJNHA_00184	CDS	1302	pdp	2.4.2.2	COG0213	Pyrimidine-nucleoside phosphorylase
IABCJNHA_00185	CDS	1365	rocC_1		COG0833	Amino-acid permease RocC
IABCJNHA_00186	CDS	960	hutG	3.5.3.8	COG0010	Formimidoylglutamase
IABCJNHA_00187	CDS	1266	hutI	3.5.2.7	COG1228	Imidazolonepropionase
IABCJNHA_00188	CDS	1659	hutU	4.2.1.49	COG2987	Urocanate hydratase
IABCJNHA_00189	CDS	1527	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
IABCJNHA_00190	CDS	447	hutP			Hut operon positive regulatory protein
IABCJNHA_00191	CDS	1410	abn2	3.2.1.99	COG3507	Extracellular endo-alpha-(1->5)-L-arabinanase 2
IABCJNHA_00192	CDS	366				hypothetical protein
IABCJNHA_00193	CDS	270				hypothetical protein
IABCJNHA_00194	CDS	1710	yxiD	3.1.-.-	COG5444	Ribonuclease YxiD
IABCJNHA_00195	CDS	444	yxxD			Antitoxin YxxD
IABCJNHA_00196	CDS	309				hypothetical protein
IABCJNHA_00197	CDS	1830	bglF		COG1263	PTS system beta-glucoside-specific EIIBCA component
IABCJNHA_00198	CDS	1446	bglH	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
IABCJNHA_00199	CDS	447	teaD		COG0589	TRAP-T-associated universal stress protein TeaD
IABCJNHA_00200	CDS	939				hypothetical protein
IABCJNHA_00201	CDS	7005	wapA	3.1.-.-	COG3209	tRNA nuclease WapA
IABCJNHA_00202	CDS	429	wapI			Immunity protein WapI
IABCJNHA_00203	CDS	471				hypothetical protein
IABCJNHA_00204	CDS	369				hypothetical protein
IABCJNHA_00205	CDS	417				hypothetical protein
IABCJNHA_00206	CDS	330				hypothetical protein
IABCJNHA_00207	CDS	453				hypothetical protein
IABCJNHA_00208	CDS	489				hypothetical protein
IABCJNHA_00209	CDS	297				hypothetical protein
IABCJNHA_00210	CDS	462				hypothetical protein
IABCJNHA_00211	CDS	132				hypothetical protein
IABCJNHA_00212	CDS	1149	yxiM	3.1.-.-	COG2755	putative esterase YxiM
IABCJNHA_00213	CDS	1440	dbpA_1	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
IABCJNHA_00214	CDS	1284				hypothetical protein
IABCJNHA_00215	CDS	681				hypothetical protein
IABCJNHA_00216	CDS	834	licT		COG3711	Transcription antiterminator LicT
IABCJNHA_00217	CDS	729	bglS	3.2.1.73	COG2273	Beta-glucanase
IABCJNHA_00218	CDS	1281	citN_1		COG2851	Citrate transporter
IABCJNHA_00219	CDS	2061	katE	1.11.1.6	COG0753	Catalase HPII
IABCJNHA_00220	CDS	291				hypothetical protein
IABCJNHA_00221	CDS	243				hypothetical protein
IABCJNHA_00222	CDS	1194	nupG		COG1972	Purine nucleoside transport protein NupG
IABCJNHA_00223	CDS	771	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
IABCJNHA_00224	CDS	1419				hypothetical protein
IABCJNHA_00225	CDS	717	scoA	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
IABCJNHA_00226	CDS	651	scoB_1	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
IABCJNHA_00227	CDS	774	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
IABCJNHA_00228	CDS	1137	metE_1	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
IABCJNHA_00229	CDS	1134	metE_2	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
IABCJNHA_00230	CDS	489				hypothetical protein
IABCJNHA_00231	CDS	264				hypothetical protein
IABCJNHA_00232	CDS	129				hypothetical protein
IABCJNHA_00233	CDS	1233	pepT_1	3.4.11.4	COG2195	Peptidase T
IABCJNHA_00234	CDS	657	liaR_1		COG2197	Transcriptional regulatory protein LiaR
IABCJNHA_00235	CDS	1221				hypothetical protein
IABCJNHA_00236	CDS	474				hypothetical protein
IABCJNHA_00237	CDS	876	cysL_1		COG0583	HTH-type transcriptional regulator CysL
IABCJNHA_00238	CDS	507				hypothetical protein
IABCJNHA_00239	CDS	1020	lnpD	5.1.3.2		UDP-glucose 4-epimerase
IABCJNHA_00240	CDS	642	yxkC			putative protein YxkC
IABCJNHA_00241	CDS	837				hypothetical protein
IABCJNHA_00242	CDS	1458	aldY	1.2.1.3	COG1012	Putative aldehyde dehydrogenase AldY
IABCJNHA_00243	CDS	894	lrp_1			Leucine-rich protein
IABCJNHA_00244	CDS	1098	msmX_1	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
IABCJNHA_00245	CDS	840				hypothetical protein
IABCJNHA_00246	CDS	201				hypothetical protein
IABCJNHA_00247	CDS	1269	htpX_1	3.4.24.-		Protease HtpX
IABCJNHA_00248	CDS	822				hypothetical protein
IABCJNHA_00249	CDS	1353	cimH_1		COG3493	Citrate/malate transporter
IABCJNHA_00250	CDS	1407	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
IABCJNHA_00251	CDS	1017	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
IABCJNHA_00252	CDS	1704	cydD		COG4988	ATP-binding/permease protein CydD
IABCJNHA_00253	CDS	1728			COG1132	putative ABC transporter ATP-binding/permease protein
IABCJNHA_00254	CDS	831	nnrD	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
IABCJNHA_00255	CDS	1374				hypothetical protein
IABCJNHA_00256	CDS	537	sigY		COG1595	RNA polymerase sigma factor SigY
IABCJNHA_00257	CDS	321	yxlC			putative protein YxlC
IABCJNHA_00258	CDS	207	yxlD			Negative regulatory protein YxlD
IABCJNHA_00259	CDS	189	yxlE			Negative regulatory protein YxlE
IABCJNHA_00260	CDS	888	yxlF	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
IABCJNHA_00261	CDS	777	yxlG			putative transmembrane protein YxlG
IABCJNHA_00262	CDS	1203	sotB			sugar efflux transporter
IABCJNHA_00263	CDS	1644	katA_1	1.11.1.6	COG0753	Catalase
IABCJNHA_00264	CDS	591		3.2.2.-		Putative 3-methyladenine DNA glycosylase
IABCJNHA_00265	CDS	159				hypothetical protein
IABCJNHA_00266	CDS	1926	licR		COG1762	putative licABCH operon regulator
IABCJNHA_00267	CDS	309	licB	2.7.1.-	COG1440	Lichenan-specific phosphotransferase enzyme IIB component
IABCJNHA_00268	CDS	1359	licC_1		COG1455	Lichenan permease IIC component
IABCJNHA_00269	CDS	264	licA		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
IABCJNHA_00270	CDS	1329	licH	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
IABCJNHA_00271	CDS	1092	ilvK	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase 2
IABCJNHA_00272	CDS	759				hypothetical protein
IABCJNHA_00273	CDS	1179	dltD		COG3966	Protein DltD
IABCJNHA_00274	CDS	237	dltC		COG0236	D-alanyl carrier protein
IABCJNHA_00275	CDS	1188				hypothetical protein
IABCJNHA_00276	CDS	1512	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
IABCJNHA_00277	CDS	936	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
IABCJNHA_00278	CDS	633	ywaC	2.7.6.5	COG2357	GTP pyrophosphokinase YwaC
IABCJNHA_00279	CDS	1368	ywaD	3.4.11.6	COG2234	Aminopeptidase YwaD
IABCJNHA_00280	CDS	1239	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
IABCJNHA_00281	CDS	516				hypothetical protein
IABCJNHA_00282	CDS	714				hypothetical protein
IABCJNHA_00283	CDS	861	gspA		COG1442	General stress protein A
IABCJNHA_00284	CDS	843	sacY_1		COG3711	Levansucrase and sucrase synthesis operon antiterminator
IABCJNHA_00285	CDS	1380	sacX_1		COG1263	Negative regulator of SacY activity
IABCJNHA_00286	CDS	1938	epr	3.4.21.-	COG1404	Minor extracellular protease Epr
IABCJNHA_00287	CDS	1335	licC_2		COG1455	Lichenan permease IIC component
IABCJNHA_00288	CDS	678				hypothetical protein
IABCJNHA_00289	CDS	381	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
IABCJNHA_00290	CDS	1191	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
IABCJNHA_00291	CDS	198				hypothetical protein
IABCJNHA_00292	CDS	1200				hypothetical protein
IABCJNHA_00293	CDS	678	yohK		COG1346	Inner membrane protein YohK
IABCJNHA_00294	CDS	387				hypothetical protein
IABCJNHA_00295	CDS	906	cynR			HTH-type transcriptional regulator CynR
IABCJNHA_00296	CDS	819	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
IABCJNHA_00297	CDS	669	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
IABCJNHA_00298	CDS	1446	efeU		COG0672	Ferrous iron permease EfeU
IABCJNHA_00299	CDS	1158	efeM		COG2822	putative iron uptake system component EfeM
IABCJNHA_00300	CDS	1251	efeN	1.11.1.-	COG2837	putative deferrochelatase/peroxidase EfeN
IABCJNHA_00301	CDS	603				hypothetical protein
IABCJNHA_00302	CDS	1542	actP		COG4147	Cation/acetate symporter ActP
IABCJNHA_00303	CDS	309				hypothetical protein
IABCJNHA_00304	CDS	159	slrA			Transcriptional regulator SlrA
IABCJNHA_00305	CDS	672				hypothetical protein
IABCJNHA_00306	CDS	405				hypothetical protein
IABCJNHA_00307	CDS	1173	galK	2.7.1.6	COG0153	Galactokinase
IABCJNHA_00308	CDS	1542	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
IABCJNHA_00309	CDS	249				hypothetical protein
IABCJNHA_00310	CDS	1002	qoxA	1.10.3.-		Quinol oxidase subunit 2
IABCJNHA_00311	CDS	1950	qoxB	1.10.3.-		Quinol oxidase subunit 1
IABCJNHA_00312	CDS	615	qoxC	1.10.3.-		Quinol oxidase subunit 3
IABCJNHA_00313	CDS	375	qoxD	1.10.3.-		Quinol oxidase subunit 4
IABCJNHA_00314	CDS	261	ywcE			Spore morphogenesis and germination protein YwcE
IABCJNHA_00315	CDS	1182	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
IABCJNHA_00316	CDS	750	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
IABCJNHA_00317	CDS	1002				hypothetical protein
IABCJNHA_00318	CDS	2421	vpr	3.4.21.-	COG1404	Minor extracellular protease vpr
IABCJNHA_00319	CDS	303				hypothetical protein
IABCJNHA_00320	CDS	831	sacY_2		COG3711	Levansucrase and sucrase synthesis operon antiterminator
IABCJNHA_00321	CDS	771	nirC		COG2116	Nitrite transporter NirC
IABCJNHA_00322	CDS	1386	sacX_2		COG1263	Negative regulator of SacY activity
IABCJNHA_00323	CDS	1440	scrB	3.2.1.26	COG1621	Sucrose-6-phosphate hydrolase
IABCJNHA_00324	CDS	249				hypothetical protein
IABCJNHA_00325	CDS	816	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
IABCJNHA_00326	CDS	339				hypothetical protein
IABCJNHA_00327	CDS	636				hypothetical protein
IABCJNHA_00328	CDS	534				hypothetical protein
IABCJNHA_00329	CDS	807				hypothetical protein
IABCJNHA_00330	CDS	678	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
IABCJNHA_00331	CDS	1371	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
IABCJNHA_00332	CDS	318	ywdI			putative protein YwdI
IABCJNHA_00333	CDS	1323	ywdJ		COG2233	Putative purine permease YwdJ
IABCJNHA_00334	CDS	372				hypothetical protein
IABCJNHA_00335	CDS	546	gerQ			Spore coat protein GerQ
IABCJNHA_00336	CDS	771	spsA		COG0463	Spore coat polysaccharide biosynthesis protein SpsA
IABCJNHA_00337	CDS	1380				hypothetical protein
IABCJNHA_00338	CDS	1170	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
IABCJNHA_00339	CDS	870	wecD	2.3.1.210		dTDP-fucosamine acetyltransferase
IABCJNHA_00340	CDS	1122	spsE		COG2089	Spore coat polysaccharide biosynthesis protein SpsE
IABCJNHA_00341	CDS	723	kdsB	2.7.7.38		8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
IABCJNHA_00342	CDS	1020	murG_1	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
IABCJNHA_00343	CDS	741	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
IABCJNHA_00344	CDS	948	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
IABCJNHA_00345	CDS	852	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
IABCJNHA_00346	CDS	456	rmlC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
IABCJNHA_00347	CDS	465	bslB			putative biofilm-surface layer protein B
IABCJNHA_00348	CDS	1275	rocG	1.4.1.2	COG0334	Catabolic NAD-specific glutamate dehydrogenase RocG
IABCJNHA_00349	CDS	1548	rocA	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase
IABCJNHA_00350	CDS	1701	rocB_1		COG4187	Protein RocB
IABCJNHA_00351	CDS	1359	rocC_2		COG0833	Amino-acid permease RocC
